r_r,p_p,y_a,x_x,y_y,z_z
"-0.26362770795822144,","0.007125276606529951,","0.30331623554229736,","-42.51078796386719,","-5.425214767456055,",295.929412841797
"-0.2681214511394501,","0.007296404335647821,","0.3047234117984772,","-42.9075927734375,","-5.451603412628174,",297.325317382812
"-0.27338120341300964,","0.008337687700986862,","0.30595922470092773,","-43.312522888183594,","-5.478150367736816,",298.715118408203
"-0.2792786955833435,","0.010060812346637249,","0.30736327171325684,","-43.725040435791016,","-5.505069255828857,",300.093841552734
"-0.28409749269485474,","0.010954977944493294,","0.3084447383880615,","-44.14470672607422,","-5.531946659088135,",301.471649169922
"-0.2876434326171875,","0.010616288520395756,","0.30876144766807556,","-44.56096267700195,","-5.558260917663574,",302.828186035156
"-0.29020899534225464,","0.009857787750661373,","0.3088458776473999,","-44.98408126831055,","-5.58417272567749,",304.203186035156
"-0.29312536120414734,","0.010159432888031006,","0.3092932105064392,","-45.40673065185547,","-5.610019683837891,",305.5634765625
"-0.2969995439052582,","0.01066706795245409,","0.3100370466709137,","-45.8391227722168,","-5.636541843414307,",306.932586669922
"-0.30097460746765137,","0.010770604945719242,","0.3106459677219391,","-46.283966064453125,","-5.6636738777160645,",308.320770263672
"-0.3039286434650421,","0.010578526183962822,","0.31110879778862,","-46.72364807128906,","-5.690140724182129,",309.682800292969
"-0.3066673278808594,","0.010175362229347229,","0.3114732503890991,","-47.16893005371094,","-5.7162041664123535,",311.05029296875
"-0.30868417024612427,","0.01008613407611847,","0.3118467628955841,","-47.60633087158203,","-5.741665840148926,",312.391693115234
"-0.3102160692214966,","0.01000280026346445,","0.3122462034225464,","-48.04635238647461,","-5.767092704772949,",313.740234375
"-0.3113626539707184,","0.00967333558946848,","0.3128107786178589,","-48.49037551879883,","-5.792672157287598,",315.100494384766
"-0.31267374753952026,","0.009596142917871475,","0.3136424124240875,","-48.92041778564453,","-5.8176116943359375,",316.412109375
"-0.313800185918808,","0.00958410557359457,","0.3145667612552643,","-49.34480667114258,","-5.8420515060424805,",317.700286865234
"-0.31516605615615845,","0.00942001398652792,","0.31539374589920044,","-49.76558303833008,","-5.866089344024658,",318.969451904297
"-0.31652283668518066,","0.009107066318392754,","0.316230446100235,","-50.189693450927734,","-5.89036226272583,",320.243225097656
"-0.31847015023231506,","0.009634089656174183,","0.3178330957889557,","-50.61953353881836,","-5.915402412414551,",321.525115966797
"-0.3197311758995056,","0.009219903498888016,","0.31955674290657043,","-51.060791015625,","-5.941226959228516,",322.839202880859
"-0.3200654685497284,","0.00810432992875576,","0.32092610001564026,","-51.50617218017578,","-5.966677188873291,",324.167755126953
"-0.31959185004234314,","0.007602125406265259,","0.3227698802947998,","-51.94697952270508,","-5.992211818695068,",325.490600585937
"-0.31863072514533997,","0.006658132653683424,","0.3242701292037964,","-52.39982604980469,","-6.018332004547119,",326.859069824219
"-0.317118763923645,","0.005928386002779007,","0.32518327236175537,","-52.84550094604492,","-6.044412612915039,",328.218200683594
"-0.31541693210601807,","0.0050264084711670876,","0.32615143060684204,","-53.29472351074219,","-6.070843696594238,",329.597015380859
"-0.31394749879837036,","0.0046582939103245735,","0.3272859752178192,","-53.74372863769531,","-6.097665309906006,",330.985137939453
"-0.31331413984298706,","0.00495309429243207,","0.3284491300582886,","-54.17967987060547,","-6.1237006187438965,",332.33251953125
"-0.31348520517349243,","0.005221150815486908,","0.3296140432357788,","-54.613792419433594,","-6.149106502532959,",333.666809082031
"-0.31430140137672424,","0.004985292442142963,","0.3307548761367798,","-55.057979583740234,","-6.174326419830322,",335.022094726562
"-0.31568315625190735,","0.004472583066672087,","0.33179527521133423,","-55.51054000854492,","-6.199227333068848,",336.390991210938
"-0.316890150308609,","0.0038552707992494106,","0.33252644538879395,","-55.95771026611328,","-6.223959445953369,",337.738677978516
"-0.3184664845466614,","0.005045343656092882,","0.33363834023475647,","-56.40047836303711,","-6.248995304107666,",339.066925048828
"-0.31970372796058655,","0.006414143834263086,","0.3350653648376465,","-56.843441009521484,","-6.2741570472717285,",340.399993896484
"-0.3204869031906128,","0.006854045204818249,","0.33633220195770264,","-57.283634185791016,","-6.298593521118164,",341.72802734375
"-0.32051655650138855,","0.006244713440537453,","0.3375430703163147,","-57.717594146728516,","-6.3221917152404785,",343.040649414062
"-0.3203783333301544,","0.005255359690636396,","0.33879807591438293,","-58.14500045776367,","-6.345216751098633,",344.335021972656
"-0.32048529386520386,","0.004705709405243397,","0.34034955501556396,","-58.559791564941406,","-6.367692947387695,",345.586486816406
"-0.32074469327926636,","0.004297106061130762,","0.3417755961418152,","-58.97721481323242,","-6.390406131744385,",346.841369628906
