u,pp,nnmn,g_x,b,m,n,g_y,p,q,r,s
0.9999459,0.009972903,0.002944504,-0.3518994,-0.009975714,0.9999498,0.0009406382,-4.58494,-0.002934975,-0.00096996,0.9999952,256.823
0.99996,0.008473834,0.002849624,-0.3474488,-0.008479116,0.9999623,0.001846164,-4.611578,-0.002833873,-0.001870251,0.9999942,258.3612
0.9999798,0.005649029,0.002911618,-0.3407995,-0.005657374,0.9999799,0.002865668,-4.637604,-0.002895371,-0.002882081,0.9999917,259.9003
0.9999882,0.004111334,0.002589962,-0.3346776,-0.00411675,0.9999893,0.002088632,-4.662237,-0.002581348,-0.002099269,0.9999945,261.4352
0.9999932,0.002887471,0.002307492,-0.3291338,-0.00288904,0.9999956,0.0006765815,-4.686551,-0.002305528,-0.0006832424,0.9999971,262.9731
0.9999954,0.0009355651,0.002883662,-0.3253738,-0.0009427296,0.9999964,0.002484078,-4.715745,-0.002881328,-0.002486784,0.9999928,264.5113
0.9999945,-0.0001234139,0.003329163,-0.3249046,0.0001067289,0.9999874,0.005011498,-4.748173,-0.00332974,-0.005011114,0.9999819,266.0572
0.9999919,-0.002066105,0.003459414,-0.3208179,0.002052234,0.9999898,0.004008459,-4.788372,-0.00346766,-0.004001325,0.999986,267.5981
0.9999887,-0.00290869,0.003750876,-0.3173943,0.002899428,0.9999927,0.002472455,-4.824679,-0.00375804,-0.002461551,0.9999899,269.1377
0.9999885,-0.001938031,0.004395994,-0.3166024,0.001927536,0.9999953,0.002390467,-4.866052,-0.004400606,-0.002381965,0.9999875,270.6771
0.9999849,-0.0004661324,0.005479803,-0.3155943,0.0004509532,0.999996,0.002770953,-4.906588,-0.005481073,-0.002768439,0.9999812,272.2185
0.9999785,0.001232933,0.006440203,-0.3140401,-0.001248098,0.9999964,0.00235118,-4.950219,-0.006437281,-0.002359167,0.9999765,273.7649
0.9999697,0.002424589,0.007402642,-0.3112309,-0.002441393,0.9999944,0.0022617,-4.987626,-0.007397117,-0.002279703,0.9999701,275.3072
0.9999614,0.003182729,0.008193149,-0.3114206,-0.00319839,0.9999931,0.001899045,-5.039836,-0.008187048,-0.001925175,0.9999646,276.8535
0.999953,0.003540242,0.009029623,-0.3062026,-0.003552063,0.9999928,0.001293327,-5.082755,-0.00902498,-0.001325339,0.9999584,278.3952
0.9999461,0.003002326,0.009935417,-0.3011292,-0.00301076,0.9999951,0.0008339534,-5.134136,-0.009932865,-0.0008638208,0.9999503,279.9451
0.9999391,0.002412082,0.01077454,-0.2897536,-0.002422969,0.9999965,0.0009974198,-5.172038,-0.0107721,-0.001023464,0.9999415,281.4958
0.9999325,0.001490615,0.01152157,-0.2764899,-0.001517343,0.9999962,0.002311413,-5.210037,-0.01151808,-0.002328738,0.999931,283.0498
0.9999296,6.994984E-05,0.01186441,-0.2599233,-0.0001024084,0.9999962,0.002735204,-5.24169,-0.01186417,-0.002736226,0.9999259,284.6005
0.9999287,-0.0005783054,0.0119268,-0.2447296,0.0005738058,0.9999997,0.0003807036,-5.277598,-0.01192702,-0.0003738321,0.9999288,286.1454
0.9999319,-0.001492295,0.01157237,-0.2301583,0.001517665,0.9999964,-0.002183831,-5.316244,-0.01156907,0.002201245,0.9999307,287.6999
0.9999418,-0.001171813,0.01072948,-0.2170805,0.001198557,0.9999962,-0.002486478,-5.355148,-0.01072652,0.002499193,0.9999394,289.2536
0.9999459,-0.002783388,0.01002137,-0.2045251,0.002801633,0.9999944,-0.001806982,-5.390475,-0.01001629,0.001834961,0.9999482,290.8103
0.9999558,-0.002681787,0.009007871,-0.1926927,0.002703689,0.9999934,-0.002419995,-5.424878,-0.009001322,0.002444243,0.9999565,292.3692
0.9999614,-0.002412034,0.008447233,-0.1828271,0.002434845,0.9999934,-0.002691088,-5.462578,-0.008440686,0.002711552,0.9999607,293.9316
0.9999673,-0.002373487,0.007737565,-0.1753107,0.002390449,0.9999947,-0.002183543,-5.502144,-0.007732342,0.002201968,0.9999677,295.5007
0.9999723,-0.002819612,0.006887209,-0.1681708,0.002832591,0.9999942,-0.001875372,-5.542654,-0.006881881,0.001894829,0.9999745,297.0723
0.9999769,-0.003466837,0.005851379,-0.1571664,0.003473314,0.9999933,-0.001096977,-5.573209,-0.005847537,0.001117276,0.9999823,298.6502
0.9999842,-0.001884748,0.005291489,-0.1498301,0.001882308,0.9999981,0.0004661426,-5.605662,-0.005292358,-0.0004561742,0.9999859,300.2367
0.9999815,-0.001358135,0.005923153,-0.1436567,0.001352001,0.9999985,0.001039545,-5.638056,-0.005924556,-0.001031517,0.9999819,301.8211
0.9999759,-0.0007817355,0.006894868,-0.1362308,0.0007782359,0.9999995,0.0005102687,-5.674045,-0.006895264,-0.0005048898,0.9999761,303.413
0.9999714,-0.002066171,0.007276388,-0.1245796,0.002065775,0.9999978,6.192163E-05,-5.704927,-0.0072765,-4.688778E-05,0.9999735,305.0095
0.9999651,-0.003784307,0.007453066,-0.1113075,0.003790433,0.9999925,-0.0008078684,-5.740563,-0.007449952,0.000836091,0.9999719,306.6086
0.9999552,-0.005428677,0.007758261,-0.1009905,0.00545008,0.9999814,-0.002740138,-5.775938,-0.007743241,0.002782299,0.9999662,308.2116
0.9999537,-0.005687325,0.007763489,-0.0964999,0.005716383,0.9999767,-0.003725647,-5.821106,-0.007742119,0.003769853,0.9999629,309.8189
0.9999708,-0.005147094,0.005644397,-0.09324941,0.005173322,0.9999758,-0.004641742,-5.863046,-0.005620369,0.004670807,0.9999733,311.4331
0.999985,-0.004221316,0.00349667,-0.09658434,0.004236103,0.999982,-0.004231981,-5.907766,-0.003478743,0.00424673,0.9999849,313.0445
0.9999922,-0.002484768,0.00308413,-0.106523,0.002488109,0.9999963,-0.001079636,-5.952029,-0.003081436,0.001087301,0.9999947,314.6682
0.9999867,-0.003716961,0.003583983,-0.1079811,0.003709068,0.9999907,0.00220663,-5.990688,-0.003592151,-0.002193306,0.9999912,316.2953
0.9999815,-0.004767094,0.003790247,-0.1086696,0.00475554,0.999984,0.003051853,-6.032426,-0.003804734,-0.003033771,0.9999882,317.9241
0.9999725,-0.006194818,0.004072383,-0.1058419,0.00618777,0.9999793,0.001741229,-6.068362,-0.004083086,-0.001715981,0.9999902,319.5525
0.999966,-0.006964861,0.004412163,-0.1039698,0.00695707,0.9999742,0.001779038,-6.106845,-0.00442444,-0.00174828,0.9999887,321.1823
0.999966,-0.00684118,0.004609291,-0.1009179,0.006831105,0.9999742,0.00219832,-6.143404,-0.004624211,-0.002166758,0.999987,322.8139
0.9999627,-0.006976154,0.005098733,-0.09883113,0.006966045,0.9999737,0.001998024,-6.185282,-0.005112538,-0.00196243,0.999985,324.4397
0.9999691,-0.005531858,0.005582557,-0.09648438,0.005524152,0.9999837,0.001395066,-6.224088,-0.005590184,-0.001364183,0.9999835,326.0682
0.9999692,-0.004739913,0.006254823,-0.09411052,0.004736022,0.9999886,0.0006369864,-6.268819,-0.006257771,-0.000607343,0.9999802,327.6976
0.9999576,-0.005867213,0.007096038,-0.08496956,0.005850059,0.9999799,0.00243587,-6.305428,-0.007110188,-0.002394254,0.9999719,329.3242
0.999951,-0.006766778,0.007224057,-0.07442718,0.006741273,0.999971,0.003549352,-6.342113,-0.007247865,-0.003500477,0.9999676,330.9508
0.9999441,-0.007988538,0.006922601,-0.06421231,0.007974252,0.999966,0.002089082,-6.372244,-0.006939054,-0.002033762,0.9999739,332.5694
0.9999502,-0.007183819,0.006934729,-0.05844895,0.007168776,0.9999719,0.002191934,-6.413497,-0.006950281,-0.00214211,0.9999736,334.1893
0.9999652,-0.004787434,0.006833316,-0.05434961,0.004781851,0.9999882,0.0008332573,-6.45078,-0.006837225,-0.0008005516,0.9999763,335.8024
0.999975,-0.003571959,0.006109299,-0.04949748,0.003593288,0.9999875,-0.003483711,-6.492551,-0.006096779,0.003505576,0.9999753,337.4097
0.9999843,-0.001994183,0.00523412,-0.04548042,0.002006544,0.9999952,-0.002357182,-6.532188,-0.005229394,0.002367648,0.9999835,339.0211
0.9999894,-0.001462301,0.004362284,-0.04257007,0.001457657,0.9999983,0.001067779,-6.571397,-0.004363838,-0.001061409,0.9999899,340.6287
0.9999945,-0.000282664,0.003299426,-0.03930296,0.0002684306,0.9999906,0.00431359,-6.601811,-0.003300614,-0.004312679,0.9999853,342.2462
0.9999978,0.0002062417,0.0020917,-0.03681003,-0.0002126335,0.9999953,0.003056043,-6.628918,-0.002091059,-0.00305648,0.9999932,343.8528
0.9999999,-0.0004441106,0.0002716568,-0.03514659,0.0004438341,0.9999994,0.00101749,-6.652782,-0.0002721082,-0.001017369,0.9999995,345.4525
0.9999977,-0.001439658,-0.001625805,-0.0345479,0.001443853,0.9999956,0.00258164,-6.677644,0.001622082,-0.00258398,0.9999954,347.0554
0.9999919,-0.003062606,-0.002625489,-0.03707175,0.003071647,0.9999893,0.003446059,-6.708152,0.002614908,-0.003454094,0.9999906,348.6551
0.9999897,-0.003341987,-0.003057511,-0.04156332,0.003349607,0.9999913,0.002490201,-6.737239,0.003049163,-0.002500416,0.9999922,350.2532
0.9999866,-0.00400627,-0.003273666,-0.05261018,0.004011489,0.9999907,0.001588782,-6.773059,0.003267271,-0.001601892,0.9999934,351.8478
0.9999863,-0.004071348,-0.003294287,-0.06277075,0.004076787,0.9999903,0.00164591,-6.805862,0.003287555,-0.001659316,0.9999932,353.4464
0.9999843,-0.004565924,-0.003263315,-0.07506606,0.004570743,0.9999884,0.001470618,-6.843564,0.003256563,-0.00148551,0.9999936,355.0379
0.999981,-0.005215829,-0.003293599,-0.08570356,0.005218715,0.999986,0.000867944,-6.882552,0.003289027,-0.000885115,0.9999942,356.6308
0.9999796,-0.005401737,-0.003418004,-0.09729989,0.005402475,0.9999854,0.0002062371,-6.921763,0.003416841,-0.0002246978,0.9999941,358.2218
0.999977,-0.005897304,-0.003345777,-0.1091014,0.005899221,0.9999824,0.0005628509,-6.958715,0.0033424,-0.0005825747,0.9999943,359.8125
0.9999797,-0.005468744,-0.003269773,-0.1223014,0.005467336,0.9999849,-0.0004395206,-6.995935,0.003272128,0.0004216354,0.9999946,361.4037
0.9999705,-0.00699099,-0.003199392,-0.1322206,0.006985695,0.9999742,-0.001663812,-7.034017,0.003210942,0.001641413,0.9999935,362.989
0.9999604,-0.008343867,-0.003084171,-0.1419952,0.008343344,0.9999652,-0.0001830997,-7.072717,0.003085592,0.0001573608,0.9999952,364.5867
0.9999448,-0.01000719,-0.003215683,-0.1552999,0.01001035,0.9999494,0.0009681153,-7.112398,0.003205833,-0.001000251,0.9999944,366.1838
0.9999393,-0.01055761,-0.003163105,-0.1668615,0.01055852,0.9999442,0.0002692067,-7.146884,0.003160086,-0.0003025873,0.999995,367.7811
0.9999515,-0.009444498,-0.002786077,-0.1858911,0.009442854,0.9999552,-0.0006033254,-7.18829,0.002791651,0.0005769883,0.9999959,369.3866
0.9999697,-0.007434945,-0.00230747,-0.2029185,0.007436476,0.9999721,0.0006546484,-7.225081,0.002302539,-0.0006717872,0.9999971,370.9753
0.9999798,-0.006100116,-0.00180553,-0.2229981,0.006101847,0.9999809,0.0009540591,-7.26884,0.001799676,-0.0009650559,0.9999979,372.6154
0.9999827,-0.005698435,-0.001435322,-0.2378134,0.005699452,0.9999835,0.0007046586,-7.306808,0.001431283,-0.0007128262,0.9999987,374.2253
0.999982,-0.005879431,-0.001199967,-0.2519893,0.005879326,0.9999827,-9.21155E-05,-7.344936,0.001200488,8.505955E-05,0.9999993,375.7811
0.9999832,-0.00571795,-0.0009178671,-0.2625878,0.005717644,0.9999836,-0.0003368161,-7.379336,0.0009197784,0.000331563,0.9999995,377.3873
0.9999855,-0.005335829,-0.0006929259,-0.2704012,0.005335561,0.9999857,-0.0003900621,-7.414418,0.0006949976,0.0003863599,0.9999997,378.9929
0.9999912,-0.004183305,-0.0003813569,-0.2783585,0.004183203,0.9999912,-0.0002705875,-7.448411,0.0003824859,0.0002689904,0.9999999,380.6071
0.9999958,-0.002891363,-5.685947E-05,-0.2877925,0.002891389,0.9999957,0.0004518743,-7.485057,5.555304E-05,-0.000452036,0.9999999,382.2202
0.9999985,-0.001738505,0.0002114522,-0.2960866,0.001738539,0.9999985,-0.0001625976,-7.522079,-0.0002111689,0.0001629656,1,383.8408
0.9999995,-0.0008743833,0.0004812968,-0.3039652,0.0008747432,0.9999993,-0.0007476725,-7.558709,-0.0004806424,0.0007480937,0.9999996,385.4512
0.9999997,-0.0001279523,0.0008073792,-0.3110174,0.0001284791,0.9999998,-0.0006525093,-7.596748,-0.0008072952,0.0006526134,0.9999995,387.0678
0.9999988,0.001116543,0.001060919,-0.3164538,-0.001116826,0.9999993,0.0002659665,-7.631598,-0.001060621,-0.0002671503,0.9999994,388.6857
0.9999964,0.002241238,0.001452395,-0.3206582,-0.002242667,0.999997,0.0009825513,-7.664429,-0.001450189,-0.0009858042,0.9999985,390.3059
0.9999941,0.002903367,0.001839558,-0.3238003,-0.00290395,0.9999957,0.000314458,-7.696195,-0.001838637,-0.0003197974,0.9999983,391.9359
0.9999935,0.002925452,0.002091742,-0.3237896,-0.002926418,0.9999956,0.0004584597,-7.731691,-0.002090391,-0.0004645773,0.9999977,393.5579
